,Color Name,Color Number,R,G,B,Lab L,Lab A,Lab B,Collection Name,Accent 1,Accent 2,Trim 1,Trim 2,Shade 1,Shade 2,Shade 3,Shade 4,Shade 5,Shade 6,Color Description
0,ICY BAY,PPG1012-1,224,229,226,90.49471148149999,-2.2151203688999996,0.865797153723,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-6,PPG1012-7,This is a favored off white to coordinate mostly with blue-based greens. It can be used for a main wall if you just want a hint of green.
1,INVERNESS GRAY,PPG1012-2,220,227,226,89.6940201924,-2.52467544403,-0.337915959829,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-6,PPG1012-7,"Ethereal in essence, this cool gray calms any interior room. Complement this grey with warmer wood tones for a beautiful contrast."
2,TINSEL,PPG1012-3,210,217,219,86.2267334474,-1.98835529741,-1.81223541594,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-4,PPG1012-5,PPG1012-6,PPG1012-7,"Country grey, this contemporary farm color works well in kitchens as walls or cabinets and in any other room for a cool, calming country feel.  Pair with warm white trim. "
3,GRAY FROST,PPG1012-4,184,191,194,76.8885537056,-1.8401793990900002,-2.35540470334,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-5,PPG1012-6,PPG1012-7,Apply this lovely greyed green into a cozy bedroom. Trim in off-whites or tinted light greens.
4,STEEPLE GRAY,PPG1012-5,142,149,152,61.2312733753,-1.91599514099,-2.459912804,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-6,PPG1012-7,Use this color on an exterior with deep grey or black trim.  Works equally well on exterior furniture or features. 
5,VOLCANIC ASH,PPG1012-6,111,118,120,49.120752729799996,-2.2012636505,-2.01157608297,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-7,Mid-tone gray with a hint of green works well for an exterior trim or exterior body color.  Pair with trim deep nuanced black or blackberry trim for a stunning effect.  
6,BLACK FOREST,PPG1012-7,67,75,79,31.3236650854,-2.25591533484,-3.47507325589,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1012-1,PPG1012-2,PPG1012-3,PPG1012-4,PPG1012-5,PPG1012-6,"Deep green grey is perfect for exterior trim or features, perfect for a front door color. Pair with rich red or vibrant orange for a delightful natural exterior. "
7,MORNING SONG,PPG1034-1,228,236,233,92.7369169046,-3.1998686045899998,0.5171298454150001,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-2,PPG1034-3,PPG1034-4,PPG1034-5,PPG1034-6,PPG1034-7,"Delicate and natural, this neutral blue is perfect for a bedroom or bath when paired with white trim. "
8,HONESTY,PPG1034-2,223,235,233,92.12603905719999,-4.34145499463,-0.4176245335,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-3,PPG1034-4,PPG1034-5,PPG1034-6,PPG1034-7,"Soft and sweet, this choice adds an expansive and restful feel to any room.  Perfect for bedroom, bath and even kitchen.  Pair with light or deep-toned woods, trim with white. "
9,PRISTINE PETAL,PPG1034-3,213,225,224,88.6276224294,-4.189727287069999,-0.9071218179230001,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-4,PPG1034-5,PPG1034-6,PPG1034-7,Use this dewy aqua on all main walls. Apply darker shades of green paired with violet accents to enliven the space of your choice.
10,MISTY SURF,PPG1034-4,181,200,201,79.2416850988,-6.223622124049999,-2.70341242226,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-3,PPG1034-5,PPG1034-6,PPG1034-7,This subdued neutral green perfect for an allover bedroom or bath.  Stunning in a kitchen. Pair with white and accent with soft yellows. 
11,AQUA SMOKE,PPG1034-5,140,159,160,64.0873974324,-6.45526302875,-2.79224319388,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-3,PPG1034-4,PPG1034-6,PPG1034-7,"A stunning greyed tone, use for an accent wall or overall exterior body, this natural, restful dusky aqua is perfect when paired with PPG 1034-7 Mountain Pine as a trim color. "
11,AQUA SMOKE,PPG1034-5,140,159,160,64.0873974324,-6.45526302875,-2.79224319388,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-3,PPG1034-4,PPG1034-6,PPG1034-7,Used as an accent color this shade of grey green is a stunning selection.  Pair with lighter shades of this same color for surrounding walls.
12,BLUE BLOOD,PPG1034-6,107,127,129,51.7116369481,-6.79412398903,-3.5271192144,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-3,PPG1034-4,PPG1034-5,PPG1034-7,A lovely refined green can be applied on an accent wall in a living room. Surrounding walls can be caramel and tans to coordinate with this rich hue.
12,BLUE BLOOD,PPG1034-6,107,127,129,51.7116369481,-6.79412398903,-3.5271192144,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-3,PPG1034-4,PPG1034-5,PPG1034-7,An elegant greyed green is a complex hue exudes a spirit of wisdom.  Surround a living room with brushed gold décor. 
13,MOUNTAIN PINE,PPG1034-7,59,82,87,33.2479343772,-7.3791518721100005,-5.770161311440001,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1034-1,PPG1034-2,PPG1034-3,PPG1034-4,PPG1034-5,PPG1034-6,For a beautiful twist on a traditional theme use this sophisticated deep blue-green in a home office. Trim in off white and add touches of golds to complete this look.
14,WATERY BLUE,PPG1035-1,207,223,221,87.6114465915,-5.70524332926,-0.865581945514,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-2,PPG1035-3,PPG1035-4,PPG1035-5,PPG1035-6,PPG1035-7,"Beautiful hushed blue, wake up refreshed and happy in a bedroom in this color.  Also perfect for a kitchen or bath. Pair with white trim for added joy. "
15,SKY DIVING,PPG1035-2,198,214,215,84.4860846034,-5.17051199973,-2.3461682866599998,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-3,PPG1035-4,PPG1035-5,PPG1035-6,PPG1035-7,"Lovely neutral blue softened by a bit of updated grey, this color is perfect for a bedroom, bath, kitchen or dining room.  "
16,BLUE BY YOU,PPG1035-3,160,183,186,72.81610610199999,-7.22503802631,-4.18791992021,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-2,PPG1035-4,PPG1035-5,PPG1035-6,PPG1035-7,"This soft, mid-toned historical blue is perfect in a country house as an all over color or for dining and kitchen.  Use in a bedroom or bath for a spa-like appeal. "
17,SYMPHONY OF BLUE,PPG1035-4,137,160,166,64.33262481060001,-6.705814695580001,-5.8209305079,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-2,PPG1035-3,PPG1035-5,PPG1035-6,PPG1035-7,This beautiful historical blue is a choice colonial feel.  Trim this in off-white.  A delightful surprise as kitchen cabinet or painted furniture. 
18,PUDDLE JUMPER,PPG1035-5,106,131,137,53.061390927,-7.523816773039999,-6.20591027599,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-2,PPG1035-3,PPG1035-4,PPG1035-6,PPG1035-7,"This dark mid-toned blue is a lovely selection for an accent wall, dining room, kitchen or painted cabinets. This is a great choice for a nautical theme."
19,SUPERSTITION,PPG1035-6,91,110,116,45.1324490783,-5.60953829231,-5.69072610154,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-2,PPG1035-3,PPG1035-4,PPG1035-5,PPG1035-7,"This beautiful sultry blue is a choice accent wall. Trim this deep, neutral aqua in off-white and warm yellow beiges for main walls."
19,SUPERSTITION,PPG1035-6,91,110,116,45.1324490783,-5.60953829231,-5.69072610154,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-2,PPG1035-3,PPG1035-4,PPG1035-5,PPG1035-7,"Deep and mysterious, this grey is an excellent choice for an accent wall.  Pair with light grey for contrast and select colorful accessories for a punch of color."
20,OBSIDIAN,PPG1035-7,68,80,85,33.1829153681,-3.49661505225,-4.531542959619999,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1035-1,PPG1035-2,PPG1035-3,PPG1035-4,PPG1035-5,PPG1035-6,"A stunning dining room, front door, or painted furniture color, add rich contemporary appeal when paired with light or mid-toned grey.  Add white trim for extra appeal. "
21,GRAY GLIMPSE,PPG1036-1,224,228,226,90.24096382299999,-1.7016956330500002,0.495768479817,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-2,PPG1036-3,PPG1036-4,PPG1036-5,PPG1036-6,PPG1036-7,"Soft, gentle misty grey, this color makes a great overall room tone, or as a ceiling or trim color for deeper toned walls.  "
22,WINTER CHILL,PPG1036-2,201,210,209,83.5022133011,-3.23547119959,-0.57287716805,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-3,PPG1036-4,PPG1036-5,PPG1036-6,PPG1036-7,"Almost true grey, this sweet color has a component of aqua which brings it a dewy freshness.  Pair with oranges, pinks or navy for a joyful uplifting space. "
23,NAUTICAL STAR,PPG1036-3,170,181,183,72.9000059442,-3.4217068759500004,-2.34139670148,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-4,PPG1036-5,PPG1036-6,PPG1036-7,"Neutral grey is perfect for an all-over color on interior or exterior.  A hint of aqua gives it a freshness to easily accent with orange, pink, yellow or navy. "
23,NAUTICAL STAR,PPG1036-3,170,181,183,72.9000059442,-3.4217068759500004,-2.34139670148,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-4,PPG1036-5,PPG1036-6,PPG1036-7,This lovely complex grey green can be used on all four walls.  Use a lighter shade on the ceiling for a soothing ambiance.
24,AFTER THE STORM,PPG1036-4,145,159,161,64.4745283396,-4.53389063622,-2.7428499735600003,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-5,PPG1036-6,PPG1036-7,This aqua-based grey can be used for the lower portion of a chair rail design. The upper wall can be treated with lighter grey expressions.
24,AFTER THE STORM,PPG1036-4,145,159,161,64.4745283396,-4.53389063622,-2.7428499735600003,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-5,PPG1036-6,PPG1036-7,A mysterious and sophisticated grey is an excellent accent wall.  Pair with lighter tones of this same color or joining walls.
24,AFTER THE STORM,PPG1036-4,145,159,161,64.4745283396,-4.53389063622,-2.7428499735600003,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-5,PPG1036-6,PPG1036-7,A stylish midtoned grey can be used fashionably in a kitchen.  Pair with white trim and stylized marbled countertops.
24,AFTER THE STORM,PPG1036-4,145,159,161,64.4745283396,-4.53389063622,-2.7428499735600003,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-5,PPG1036-6,PPG1036-7,A midtoned grey green is quite beautiful in a living room.  This color can be trimmed in off-white and contrasting lighter woods.
25,ROUGH RIDE,PPG1036-5,122,134,135,55.0071582661,-4.16194891883,-2.04256327677,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-4,PPG1036-6,PPG1036-7,For a stunning accent wall use this breathtaking aqua blue in a living room or dining room. Warm gold decor creates a pop of sizzle in this space.
26,PHANTOM,PPG1036-6,110,121,123,50.001116216899995,-3.64901858854,-2.4980538128,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-4,PPG1036-5,PPG1036-7,This traditional grey is quite dynamic for a modern exterior.  Use with black or charcoal for curb appeal that makes a statement.  
26,PHANTOM,PPG1036-6,110,121,123,50.001116216899995,-3.64901858854,-2.4980538128,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-4,PPG1036-5,PPG1036-7,This grey is an appropriate selection for a theatre room.  Go ahead and paint the trim the same color for visual continuity.
27,MOSTLY METAL,PPG1036-7,87,94,95,39.339872104499996,-2.50444314458,-1.5161700116999999,Aqua Paint Colors,PPG1084-3,PPG13-24,PPG1086-1,PPG1001-1,PPG1036-1,PPG1036-2,PPG1036-3,PPG1036-4,PPG1036-5,PPG1036-6,"An excellent choice for today's exterior all-over mono-chromatic trend.  Use on body, trim, garage and match with roof tiles for a statement exterior. "
28,SEA FROST,PPG1037-1,213,220,220,87.2412837549,-2.35482817924,-0.829056686531,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1037-2,PPG1037-3,PPG1037-4,PPG1037-5,PPG1037-6,PPG1037-7,A stylish light-toned grey can be used fashionably in a kitchen. Pair with white trim and stylized marbled countertops.
29,SKY SPLASH,PPG1037-2,201,211,211,83.8139159613,-3.38021853968,-1.18094584877,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1037-1,PPG1037-3,PPG1037-4,PPG1037-5,PPG1037-6,PPG1037-7,This lighter cool grey creates a transitional style to your interior. Coordinates well with the deeper charcoals or pops of color.
29,SKY SPLASH,PPG1037-2,201,211,211,83.8139159613,-3.38021853968,-1.18094584877,Aqua Paint Colors,PPG14-29,PPG14-19,PPG1023-1,PPG1001-1,PPG1037-1,PPG1037-3,PPG1037-4,PPG1037-5,PPG1037-6,PPG1037-7,A sumptious light misty green is an interior wall for a bedroom.  Dark cherry furniture is an added feature for this space.
